CustomerId,CreditScore,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited
15634602,619,2,1,1,1,1
15647311,608,1,1,0,1,0
15619304,502,8,3,1,0,1
15701354,699,1,2,0,0,0
15737888,850,2,1,1,1,0
15574012,645,8,2,1,0,1
15592531,822,7,2,1,1,0
15656148,376,4,4,1,0,1
15792365,501,4,2,0,1,0
15592389,684,2,1,1,1,0
15767821,528,6,2,0,0,0
15737173,497,3,2,1,0,0
15632264,476,10,2,1,0,0
15691483,549,5,2,0,0,0
15600882,635,7,2,1,1,0
15643966,616,3,2,0,1,0
15737452,653,1,1,,0,1
15788218,549,9,2,1,1,0
15661507,587,6,1,0,0,0
15568982,726,6,2,1,1,0
15577657,732,8,2,1,1,0
15597945,636,8,2,1,0,0
15699309,510,4,1,1,0,1
15725737,669,3,2,0,1,0
15625047,846,5,1,1,1,0
15738191,577,3,2,0,1,0
15736816,756,2,1,1,1,0
15700772,571,9,2,0,0,0
15728693,574,3,1,1,1,0
15656300,411,0,2,1,1,0
15589475,591,3,3,1,0,1
15706552,533,7,1,0,1,0
15750181,553,9,2,0,0,0
15659428,520,6,2,1,1,0
15732963,722,9,2,1,1,0
15794171,475,0,1,1,0,1
15788448,490,3,1,0,1,0
15729599,804,7,1,0,1,0
15717426,850,7,1,1,1,0
15585768,582,6,2,0,1,0
15619360,472,4,1,1,0,0
15738148,465,8,1,0,0,1
15687946,556,2,1,1,1,0
15755196,834,2,1,0,0,1
15684171,660,5,1,1,1,0
15754849,776,4,2,1,1,0
15602280,829,9,1,1,1,1
15771573,637,9,1,1,1,1
15766205,550,2,1,0,1,0
15771873,776,2,2,1,0,0
15616550,698,10,2,1,0,0
15768193,585,5,2,0,0,0
15683553,788,5,2,0,0,0
15702298,655,8,1,0,0,1
15569590,601,1,1,1,0,1
15760861,619,1,1,1,1,0
15630053,656,5,1,1,0,0
15647091,725,0,1,0,0,0
15623944,511,4,1,1,0,1
15804771,614,4,1,1,1,0
15651280,742,5,1,0,0,0
15773469,687,9,2,0,0,0
15702014,555,1,2,0,0,0
15751208,684,8,1,1,1,0
15592461,603,4,1,1,1,0
15789484,751,6,2,1,1,0
15696061,581,1,1,1,0,0
15641582,735,10,2,1,1,0
15638424,661,5,2,0,1,0
15755648,675,8,1,1,0,0
15703793,738,2,4,1,0,1
15620344,813,6,1,1,0,0
15812518,657,0,1,0,1,0
15779052,604,5,2,1,1,0
15770811,519,9,2,0,1,0
15780961,735,1,2,1,0,0
15614049,664,8,2,1,1,0
15662085,678,9,1,1,1,0
15575185,757,5,1,0,1,0
15803136,416,10,2,1,0,0
15706021,665,1,2,0,0,0
15663706,777,2,1,1,0,1
15641732,543,3,2,0,0,0
15701164,506,4,1,1,1,0
15738751,493,4,2,1,0,0
15805254,652,10,2,1,1,0
15762418,750,3,1,1,0,1
15625759,729,9,2,1,0,0
15622897,646,4,3,1,0,1
15767954,635,3,2,1,1,0
15757535,647,5,3,1,1,1
15731511,808,7,2,1,0,0
15809248,524,10,2,1,0,0
15640635,769,8,2,1,1,0
15676966,730,4,2,0,1,0
15699461,515,10,1,0,1,0
